rank,title,year,rating,imdb_id,url
1,The Shawshank Redemption,N/A,9.3(3.1M),tt0111161,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
2,The Godfather,N/A,9.2(2.2M),tt0068646,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
3,The Dark Knight,N/A,9.1(3.1M),tt0468569,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
4,The Godfather Part II,N/A,9.0(1.5M),tt0071562,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
5,12 Angry Men,N/A,9.0(957K),tt0050083,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
6,The Lord of the Rings: The Return of the King,N/A,9.0(2.1M),tt0167260,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_6
7,Schindler's List,N/A,9.0(1.6M),tt0108052,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_7
8,The Lord of the Rings: The Fellowship of the Ring,N/A,8.9(2.2M),tt0120737,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_8
9,Pulp Fiction,N/A,8.8(2.4M),tt0110912,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_9
10,"The Good, the Bad and the Ugly",N/A,8.8(874K),tt0060196,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
11,The Lord of the Rings: The Two Towers,N/A,8.8(1.9M),tt0167261,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_11
12,Forrest Gump,N/A,8.8(2.4M),tt0109830,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_12
13,Fight Club,N/A,8.8(2.5M),tt0137523,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
14,Inception,N/A,8.8(2.8M),tt1375666,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
15,Star Wars: Episode V - The Empire Strikes Back,N/A,8.7(1.5M),tt0080684,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
16,The Matrix,N/A,8.7(2.2M),tt0133093,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
17,Goodfellas,N/A,8.7(1.4M),tt0099685,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
18,Interstellar,N/A,8.7(2.4M),tt0816692,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_18
19,One Flew Over the Cuckoo's Nest,N/A,8.6(1.1M),tt0073486,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_19
20,Se7en,N/A,8.6(2M),tt0114369,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_20
21,It's a Wonderful Life,N/A,8.6(538K),tt0038650,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
22,The Silence of the Lambs,N/A,8.6(1.7M),tt0102926,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22
23,Seven Samurai,N/A,8.6(394K),tt0047478,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
24,Saving Private Ryan,N/A,8.6(1.6M),tt0120815,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
25,The Green Mile,N/A,8.6(1.5M),tt0120689,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_25
